Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100u","C_Elec_5x5.4",143.775000,-121.300000,0.000000,top
"C2","470n","C_0603_1608Metric",138.400000,-102.350000,0.000000,top
"C3","470n","C_0603_1608Metric",125.562500,-120.887500,-90.000000,top
"C4","10u","C_0603_1608Metric",127.062500,-120.887500,-90.000000,top
"C5","10u","C_0603_1608Metric",124.600000,-109.750000,-90.000000,top
"C6","470n","C_0603_1608Metric",129.550000,-109.725000,-90.000000,top
"C7","100n","C_0603_1608Metric",128.562500,-120.887500,-90.000000,top
"C8","470n","C_0603_1608Metric",129.537500,-114.587500,-90.000000,top
"C9","10u","C_0603_1608Metric",124.562500,-114.612500,-90.000000,top
"D1","LED","LED_0201_0603Metric",142.005000,-86.300000,0.000000,top
"J1","UPDI Programming","PinHeader_1x03_P2.54mm_Vertical",132.810000,-86.800000,90.000000,top
"J2","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",135.000000,-102.350000,0.000000,top
"J3","Stepper Connector","JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",130.475000,-129.100000,0.000000,top
"J4","Hall Effect","JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",128.250000,-103.550000,180.000000,top
"J5","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",145.550000,-89.360000,0.000000,top
"J6","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",135.000000,-117.650000,0.000000,top
"J7","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",135.000000,-108.100000,0.000000,top
"J8","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",135.000000,-111.900000,0.000000,top
"R1","0R","R_0805_2012Metric",128.025000,-118.162500,180.000000,top
"R2","60R","R_0201_0603Metric",142.000000,-87.300000,180.000000,top
"U1","ATtiny1616-MNR","VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm",138.600000,-94.800000,-90.000000,top
"U2","ULN2003ADR","SOIC-16W_5.3x10.2mm_P1.27mm",142.767500,-109.750000,-90.000000,top
"U3","SN65HVD72DR","SOIC-8_5.3x6.2mm_P1.27mm",129.875000,-94.475000,180.000000,top
"U5","SPX3819M5-L-3-3","SOT-23-5",127.087500,-109.712500,90.000000,top
"U6","SPX3819M5-L-5-0","SOT-23-5",127.062500,-114.562500,90.000000,top
