"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J5";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Pin";;;
2;"U1";"VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm";1;"ATtiny1616-MNR";;;
3;"C1";"C_Elec_5x5.4";1;"100u";;;
4;"U3";"SOIC-8_5.3x6.2mm_P1.27mm";1;"SN65HVD72DR";;;
5;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"UPDI Programming";;;
6;"C6,C2,C3";"C_0603_1608Metric";3;"470n";;;
7;"C5,C4";"C_0603_1608Metric";2;"10u";;;
8;"U5";"SOT-23-5";1;"SPX3819M5-L-3-3";;;
9;"C7";"C_0603_1608Metric";1;"100n";;;
10;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"Hall Effect";;;
11;"U2";"SOIC-16W_5.3x10.2mm_P1.27mm";1;"ULN2003ADR";;;
12;"R1";"R_0805_2012Metric";1;"0R";;;
13;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"BUS POGO";;;
14;"J3";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";1;"Stepper Connector";;;
